Date,period,strongBuy,buy,hold,sell,strongSell
1970-01-01 00:00:00.000000000,0m,10,49,2,1,0
1970-01-01 00:00:00.000000001,-1m,10,48,2,1,0
1970-01-01 00:00:00.000000002,-2m,10,48,2,1,0
1970-01-01 00:00:00.000000003,-3m,10,48,2,1,0
