Date,Free_Cash_Flow,Repurchase_Of_Capital_Stock,Repayment_Of_Debt,Issuance_Of_Debt,Capital_Expenditure,Interest_Paid_Supplemental_Data,Income_Tax_Paid_Supplemental_Data,End_Cash_Position,Beginning_Cash_Position,Changes_In_Cash,Financing_Cash_Flow,Cash_Flow_From_Continuing_Financing_Activities,Net_Other_Financing_Charges,Proceeds_From_Stock_Option_Exercised,Cash_Dividends_Paid,Common_Stock_Dividend_Paid,Net_Common_Stock_Issuance,Common_Stock_Payments,Net_Issuance_Payments_Of_Debt,Net_Long_Term_Debt_Issuance,Long_Term_Debt_Payments,Long_Term_Debt_Issuance,Investing_Cash_Flow,Cash_Flow_From_Continuing_Investing_Activities,Net_Other_Investing_Changes,Net_Investment_Purchase_And_Sale,Sale_Of_Investment,Purchase_Of_Investment,Net_Business_Purchase_And_Sale,Purchase_Of_Business,Net_PPE_Purchase_And_Sale,Purchase_Of_PPE,Operating_Cash_Flow,Cash_Flow_From_Continuing_Operating_Activities,Change_In_Working_Capital,Change_In_Other_Current_Liabilities,Change_In_Payables_And_Accrued_Expense,Change_In_Accrued_Expense,Change_In_Payable,Change_In_Account_Payable,Change_In_Prepaid_Assets,Change_In_Inventory,Change_In_Receivables,Changes_In_Account_Receivables,Other_Non_Cash_Items,Stock_Based_Compensation,Deferred_Tax,Deferred_Income_Tax,Depreciation_Amortization_Depletion,Depreciation_And_Amortization,Amortization_Cash_Flow,Amortization_Of_Intangibles,Depreciation,Operating_Gains_Losses,Gain_Loss_On_Investment_Securities,Net_Income_From_Continuing_Operations
2026-01-31,96676000000.0,-40086000000.0,0.0,,-6042000000.0,,20288000000.0,10605000000.0,8589000000.0,2016000000.0,-48474000000.0,-48474000000.0,-8058000000.0,644000000.0,-974000000.0,-974000000.0,-40086000000.0,-40086000000.0,0.0,0.0,0.0,,-52228000000.0,-52228000000.0,,-31651000000.0,26467000000.0,-58118000000.0,-14535000000.0,-14535000000.0,-6042000000.0,-6042000000.0,102718000000.0,102718000000.0,-15949000000.0,1844000000.0,8353000000.0,5257000000.0,3096000000.0,3096000000.0,577000000.0,-11324000000.0,-15399000000.0,-15399000000.0,-287000000.0,6386000000.0,-1424000000.0,-1424000000.0,2843000000.0,2843000000.0,,,,-8918000000.0,-8918000000.0,120067000000.0
2025-01-31,60853000000.0,-33706000000.0,-1250000000.0,,-3236000000.0,246000000.0,15118000000.0,8589000000.0,7280000000.0,1309000000.0,-42359000000.0,-42359000000.0,-7059000000.0,490000000.0,-834000000.0,-834000000.0,-33706000000.0,-33706000000.0,-1250000000.0,-1250000000.0,-1250000000.0,,-20421000000.0,-20421000000.0,22000000.0,-16200000000.0,11861000000.0,-28061000000.0,-1007000000.0,-1007000000.0,-3236000000.0,-3236000000.0,64089000000.0,64089000000.0,-9383000000.0,1221000000.0,7635000000.0,4278000000.0,3357000000.0,3357000000.0,-395000000.0,-4781000000.0,-13063000000.0,-13063000000.0,-502000000.0,4737000000.0,-4477000000.0,-4477000000.0,1864000000.0,1864000000.0,,,,-1030000000.0,-1030000000.0,72880000000.0
2024-01-31,27021000000.0,-9533000000.0,-1250000000.0,0.0,-1069000000.0,252000000.0,6549000000.0,7280000000.0,3389000000.0,3891000000.0,-13633000000.0,-13633000000.0,-2858000000.0,403000000.0,-395000000.0,-395000000.0,-9533000000.0,-9533000000.0,-1250000000.0,-1250000000.0,-1250000000.0,0.0,-10566000000.0,-10566000000.0,-124000000.0,-9290000000.0,9783000000.0,-19073000000.0,-83000000.0,-83000000.0,-1069000000.0,-1069000000.0,28090000000.0,28090000000.0,-3722000000.0,514000000.0,3556000000.0,2025000000.0,1531000000.0,1531000000.0,-1522000000.0,-98000000.0,-6172000000.0,-6172000000.0,-278000000.0,3549000000.0,-2489000000.0,-2489000000.0,1508000000.0,1508000000.0,614000000.0,614000000.0,894000000.0,-238000000.0,-238000000.0,29760000000.0
2023-01-31,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,254000000.0,1404000000.0,3389000000.0,1990000000.0,1399000000.0,-11617000000.0,-11617000000.0,-1535000000.0,355000000.0,-398000000.0,-398000000.0,-10039000000.0,-10039000000.0,0.0,0.0,0.0,0.0,7375000000.0,7375000000.0,,9257000000.0,21239000000.0,-11982000000.0,-49000000.0,-49000000.0,-1833000000.0,-1833000000.0,5641000000.0,5640000000.0,-2207000000.0,252000000.0,790000000.0,1341000000.0,-551000000.0,-551000000.0,-1517000000.0,-2554000000.0,822000000.0,822000000.0,1347000000.0,2709000000.0,-2164000000.0,-2164000000.0,1543000000.0,1543000000.0,699000000.0,699000000.0,844000000.0,45000000.0,45000000.0,4368000000.0
2022-01-31,,,,4977000000.0,,246000000.0,,,,,,,,,,,,,,,,4977000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563000000.0,563000000.0,611000000.0,,,
